Title,LastEdited,Link,Text
Rick and Morty,17 April 2020,https://en.wikipedia.org/wiki/Rick_and_Morty,"Rick and Morty is an American adult animated science fiction sitcom created by Justin Roiland and Dan Harmon for Cartoon Network's late-night programming block Adult Swim. The series follows the misadventures of cynical mad scientist Rick Sanchez and his good-hearted but fretful grandson Morty Smith, who split their time between domestic life and interdimensional adventures.Roiland voices the eponymous characters, with Chris Parnell, Spencer Grammer and Sarah Chalke voicing the rest of the family. The series originated from an animated short parody film of Back to the Future, created by Roiland for Channel 101, a short film festival co-founded by Harmon. The series has been acclaimed by critics for its originality, creativity and humor.The series has been picked up for an additional seventy episodes over an unspecified number of seasons, beginning with season 4. The fourth season premiered on November 10, 2019 consists of ten episodes.The show revolves around the adventures of the members of the Smith household, which consists of parents Jerry and Beth, their children Summer and Morty, and Beth's father, Rick Sanchez, who lives with them as a guest. According to Justin Roiland, the family lives outside of Seattle, Washington.[2] The adventures of Rick and Morty, however, take place across an infinite number of realities, with the characters travelling to other planets and dimensions through portals and Rick's flying car.Rick is an eccentric and alcoholic mad scientist, who eschews many ordinary conventions such as school, marriage, love, and family. He frequently goes on adventures with his 14-year-old grandson, Morty, a kind-hearted but easily distressed boy, whose naïve but grounded moral compass plays counterpoint to Rick's Machiavellian ego. Morty's 17-year-old sister, Summer, is a more conventional teenager who worries about improving her status among her peers and sometimes follows Rick and Morty on their adventures. The kids' mother, Beth, is a generally level-headed person and assertive force in the household, though self-conscious about her professional role as a horse surgeon. She is dissatisfied with her marriage to Jerry, a simple-minded and insecure person, who disapproves of Rick's influence over his family.Different versions of the characters inhabit other dimensions throughout the multiverse and their personal characteristics can vary from one reality to another. The show's original Rick identifies himself as Rick Sanchez of Earth Dimension C-137, in reference to his original universe, but this does not necessarily apply to every other member of the Smith household. For instance, in the first-season episode Rick Potion #9, after turning the entire world population into monsters, Rick and Morty move to a different dimension, leaving Summer, Beth and Jerry behind.In May 2012, Adult Swim unveiled its development slate that included a Rick and Morty pilot from Harmon and Roiland,[7] which was eventually picked up to series in October 2012, as one of the network's first primetime original shows.[8] The first season premiered in December 2013 and concluded in April 2014. It comprised eleven episodes (including the pilot), and aired Mondays at 10:30pm ET/PT.[9]Two months earlier, in February 2014, the show had been renewed for a second season, with the press release noting that Rick and Morty consistently outperformed direct competition in its time slot.[10] Season two aired Sundays at 11:30pm ET/PT, from July to October 2015, and comprised ten episodes.[11] In an interview with The Hollywood Reporter, Roiland said that Rick and Morty will remain a big priority above anything else for him in the future, and expressed his intention to keep the show growing.[12]Adult Swim renewed Rick and Morty for a third season in August 2015, shortly after a successful second-season premiere.[13] The two co-creators and executive producers expressed their delight at the series' popularity.[14] The season premiered unannounced on April 1, 2017, as part of an April Fools' prank. The remaining episodes began airing weekly almost four months later, continuing in the same time slot from season two, and the initial airing concluded in October 2017.[15] Although it was originally intended for the season to consist of fourteen episodes, as a result of production delays it eventually comprised only ten.[16]Following the conclusion of the show's third season, co-creators Harmon and Roiland wanted to have assurance that there would be many more seasons of Rick and Morty in the future, so that they would be able to focus on the show and minimize their involvement in other projects.[17] Additionally, Harmon had expressed his wish for the upcoming fourth season to consist of more than ten episodes.[18] In May 2018, after prolonged contract negotiations, Adult Swim announced a long-term deal with the creators, ordering 70 new episodes over an unspecified number of seasons.[19] Roiland was confident that this big renewal deal will allow the creators to minimize the gaps between seasons, as they will be able to schedule their time around the show and keep the machine going.[20]In May 2019, the fourth season of Rick and Morty was announced to debut in November 2019.[21] The fourth season will consist of ten episodes split across two airings.[22] The first five episode began airing on November 10, 2019,[23] while the remaining five episodes will begin airing on May 3, 2020.[24]Rick and Morty was created by Justin Roiland and Dan Harmon. The duo first met at Channel 101, a non-profit monthly short film festival in Los Angeles co-founded by Harmon.[25] At Channel 101, participants submit a short film in the format of a pilot, and a live audience decides which pilots continue as a series. Roiland, then a producer on reality programming, began submitting content to the festival a year after its launch, in 2004. His pilots typically consisted of shock value—sick and twisted elements that received a confused reaction from the audience.[25] Nevertheless, Harmon took a liking to his humor and the two began collaborating. In 2006, Roiland was fired from working on a television series he regarded as intensely creatively stifling, and funneled his creative energies into creating a webisode for Channel 101. The result was The Real Animated Adventures of Doc and Mharti, an animated short starring parodies of Doc Brown and Marty McFly, characters from the Back to the Future film trilogy.[26] In the short, which Harmon would dub a bastardization, a pornographic vandalization, Doc Smith urges Mharti that the solution to all of his problems is to give him oral sex.[27] The audience reacted to it wildly, and Roiland began creating more shorts involving the characters, which soon evolved beyond his original intentions and their obvious origin within the film from which it was culled.[27][28] Harmon would later create and produce Community, an NBC sitcom, while Roiland would work primarily in voice acting for Disney's Fish Hooks and Cartoon Network's Adventure Time.In 2012, Harmon was briefly fired from Community. Adult Swim, searching for a more prime-time, hit show,[29] approached Harmon shortly afterward, who initially viewed the channel as unfit for his style. He also was unfamiliar with animation, and his process for creating television focuses more heavily on dialogue, characters, and story.[28] Instead, he phoned Roiland to inquire if he had any ideas for an animated series. Roiland immediately brought up the idea of using the Doc and Mharti characters, renamed Rick and Morty.[27] Roiland initially wanted the show's run time to consist of one eleven-minute segment, but Adult Swim pushed for a half-hour program.[29] Harmon felt the best way to extend the voices into a program would be to build a family around the characters, while Adult Swim development executive Nick Weidenfeld suggested that Rick be Morty's grandfather. Having pitched multiple television programs that did not get off the ground, Roiland was initially very unreceptive to others attempting to give notes on his pitch.[27] Prior to developing Rick and Morty, he had created three failed animated pilots for Fox, and he had begun to feel burned out with developing television.[28]The first draft was completed in six hours on the Paramount Pictures lot in Dan Harmon's unfurnished Community office.[30] The duo had broken the story that day, sold the pilot, and then sat down to write.[28][31] Roiland, while acknowledging a tendency for procrastination, encouraged Harmon to stay and write the entire first draft.[30] We were sitting on the floor, cross-legged with laptops and I was about to get up and go home and he said, 'Wait, if you go home, it might take us three months to write this thing. Stay here right now and we can write it in six hours.' He just had a premonition about that, recalled Harmon.[28] Adult Swim was initially unsure of Roiland doing both voices, partially due to the undeveloped nature of the character of Morty. Harmon wrote four short premises in which Morty took a more assertive role and sent it to Mike Lazzo.[30] Adult Swim placed a tamer TV-14 rating on the program, which initially was met with reluctance from the show's staff. The network's reason behind the rating was that it would soon begin broadcasting in prime-time, competing with major programs.[28]The theme song for Rick and Morty by Ryan Elder was originally used in a rejected Cartoon Network pilot Roiland made called Dog World, which was referenced in the episode Lawnmower Dog.[32]Harmon has noted that the writers' room at the show's studio bears a striking resemblance to the one used for Community.[28] In comparing the two, he noted that the writing staff of Rick and Morty was significantly smaller, and more rough and tumble verbally.[28] The first season writing staff consisted of Roiland, Harmon, Tom Kauffman, Ryan Ridley, Wade Randolph, and Eric Acosta, while writer's assistant Mike McMahan was also given writing credit. Described as a very, very tiny little writers' room with a lot of heavy lifting from everybody, the show's writing staff, like many Adult Swim productions, is not unionized with the Writers' Guild of America.[33] The writing staff first meets and discusses ideas, which evolve into a story.[25] Discussions often include anecdotes from personal life as well as thoughts on the science fiction genre.[28] After breaking the story—which consists of developing its consistency and logical beginning, middle, and conclusion—a writer is assigned to create an outline. Roiland and Harmon do a pass on the outline, and from there the episode undergoes several more drafts. The final draft of the script is last approved by either of the co-creators.[25] Harmon has admitted that his perfectionism can sometimes be disruptive and cause writing schedule delays. For the most part, this was the reason why the third season of the show consisted of only 10 episodes instead of 14, as was initially intended.[34][35]Many episodes are structured with use of a story circle, a Harmon creation based largely on Joseph Campbell's monomyth, or The Hero's Journey. Its two-act structure places the act break at an odd location in the stages of the monomyth: after The Meeting with the Goddess, instead of Atonement with the Father.[30] Roiland has stated his and Harmon's intentions for the series to lack traditional continuity, opting for discontinuous storylines not bound by rules.[36] He has also confirmed that the writers avoid revisiting old tropes from the show's past, in fear of that coming off as disingenuous fan service.[37] In producing the series' first season, episodes were occasionally written out of order. For example, Rick Potion #9 was the second episode written for the series, but was instructed to be animated as the fifth, as it would make more sense within the series' continuity.[25]Animation for the show is done using Toon Boom Harmony, post-production work is done in Adobe After Effects, and background art is done in Adobe Photoshop.[38] Production of animation is handled by Bardel Entertainment in Vancouver, Canada.[39]Roiland's cartooning style is heavily indebted to The Simpsons, a factor he acknowledged in a 2013 interview, while also comparing his style to that of Pendleton Ward (Adventure Time) and J. G. Quintel (Regular Show): You'll notice mouths are kind of similar and teeth are similar, but I think that's also a stylistic thing that... all of us are kind of the same age, and we're all inspired by The Simpsons and all these other shows we're kind of subconsciously tapping into.[33] John Kricfalusi's The Ren & Stimpy Show was another strong influence for Rick and Morty, which is why, according to Roiland, the small w-shaped mouths that the characters occasionally make is a reference to a similar expression that Ren frequently makes.[40] Talking about the style guide the animators of the show have to follow, season three art director Jeffrey Thompson explained that the characters are often drawn with odd or asymmetrical features, in order to avoid looking too normal to live in the Rick and Morty universe.[41]When recording dialogue, Roiland does a considerable amount of improvisation, in order to make the characters feel more natural.[42]The general formula of Rick and Morty consists of the juxtaposition of two conflicting scenarios: an extremely selfish, alcoholic grandfather dragging his grandson along for interdimensional adventures, intercut with domestic family drama.[27][29] Co-creator Dan Harmon has described the series as a cross between Matt Groening's two shows The Simpsons and Futurama, balancing family life with heavy science fiction.[33] The series is inspired by British-style storytelling, as opposed to traditional American family TV stories.[25] Harmon has stated that his inspiration behind much of the concept and humor for the series comes from various British television series, such as The Hitchhiker's Guide to the Galaxy and Doctor Who. He figures that the audience will only understand developments from Morty's point of view, but stated we don't want to be the companions. We want to hang out with  the Doctor, we idolize the Doctor, but we don't think like him, and that's really interesting.[43]Occasionally, characters will acknowledge an episode's narrative or hint at the presence of a fourth wall, suggesting that they are aware of the fact that they are characters of a TV show. Thereunder, Troy Patterson of The New Yorker notes that Rick and Morty supplies an artful answer to the question of what follows postmodernism: a decadent regurgitation of all its tropes, all at once, leavened by some humanistic wistfulness.[44] Sean Sebastian of Junkee says that the show can be both hilarious and deeply disturbing at the same time as it excels at the intersection between big ideas, flippancy and wit.[45]Rick and Morty has been described as a never-ending fart joke wrapped around a studied look into nihilism.[46] The series addresses the insignificance of human existence as compared to the size of the universe, with no recognizable divine presence, as described by Lovecraft's philosophy of cosmicism. The characters of the show deal with cosmic horror and existential dread, either by asserting the utility of science over magic or by choosing a life in ignorant bliss.[47] However, as Joachim Heijndermans of Geeks notes, none of them appear able to handle the absurd and chaotic nature of the universe, as Jerry gets by through denial, and Rick is a depressed, substance-addicted, suicidal mess.[48]Harmon describes Rick as a self-interested anarchist, who doesn't like being told what to do.[49] He believes that the character's life on a larger scale has caused him mental illness,[43] and opines that the knowledge that nothing matters—while accurate—gets you nowhere.[50] Matthew Bulger of The Humanist notes that the creators of the series are trying to communicate the message that we need to focus on human relationships and not preoccupy our minds with unanswerable questions, in order to find a sense of purpose and live a better life.[51] Eric Armstrong of The New Republic notes that Morty represents the audience, as he is mostly there to react to Rick's deranged schemes. The character is transformed by the truths he discovers during his interdimensional adventures with his grandfather. However, instead of sinking into depression, Morty accepts these truths that empower him to value his own life.[52]The show is available to watch on Netflix in a number of countries outside the United States, including Australia, while the first three seasons are available to stream domestically on Hulu.[53] Following the conclusion of the show's third season, Adult Swim made a livestream marathon of Rick and Morty available to watch on its official website in select regions,[54] hoping to dissuade viewers from watching other illegal livestreams.[55]In the United Kingdom, public-service broadcaster Channel 4 outbid Netflix and began airing the series with season 4, which represents its first pickup by an international television channel.[56] Season 4 was originally scheduled to premiere on Channel 4 in January 2020; viewer complaints resulted in the broadcaster moving the first episode forward to 20 November on E4.[57]The 11-episode first season was released on DVD (2-disc set) and Blu-ray (single BD-50 disc) on October 7, 2014. Special features include commentary and animatics for every episode, deleted scenes, behind the scenes featurette and commentaries by special guests Matt Groening, Robert Kirkman, Pendleton Ward, Al Jean and others.[58][59] The 10-episode second season was released on DVD (2-disc set) and Blu-ray (single BD-50 disc) on June 7, 2016. Special features include behind the scenes, commentary and animatics for every episode, deleted animatic sketches and a Plumbus Owner's Manual booklet.[60][61] The 10-episode third season, was released on DVD (2-disc set) and Blu-ray (single BD-50 disc) on May 15, 2018. Special features include exclusive commentary and animatics for every episode, inside the episode, the origins of Rick and Morty, and an exclusive inside the recording booth session.[62] On February 12, 2019, a set containing seasons 1-3 was released on DVD and Blu-ray.[63]Uncensored versions of the show are also available to purchase on various digital platforms, including iTunes and Amazon, with the digital releases of each season containing bonus material.[53] The digital release of the first season includes the 2013 Rick and Morty Comic-Con panel,[64] the digital release of the second season includes the 2015 ATX Television Festival panel,[65] and the digital release of the third season includes commentary on every episode, as well as seven more short videos featuring co-creators Dan Harmon and Justin Roiland.[66]Rick and Morty has received near-universal critical acclaim, holding an approval rating of 94% on review aggregator website Rotten Tomatoes for the entire series.[67] David Weigand of San Francisco Chronicle described it as offbeat and occasionally coarse... the take-away here is that it works. He praised the animation direction by James McDermott for being fresh, colorful and as wacky as the script, and states that the series possesses shades of Futurama, South Park and even Beetlejuice, ultimately opining that its humor felt entirely original.[68] Neil Genzlinger of The New York Times praised the series and stated that it was Grandparenting at its unhinged finest.[69] In a review shortly after the second-season premiere, Sean Sebastian of Junkee said that although the crude animation and over-the-top voice acting might have discouraged some viewers to continue watching, Rick and Morty is exceptionally well-made and that the more you dissect it, the more you find it has to say.[45]Todd Spangler of Variety gave the series a lukewarm review; while he found the series was passable, he contrasted it with other Adult Swim series as often seems overly reliant on simply being frenetic at the expense of being witty and enjoyed it as a welcome attempt to dream just a little bigger.[70] David Sims of The A.V. Club gave the series an A−. In reviewing the first two episodes, he complimented the animation for its clean, simple style. He stated that while the series has a dark, sick sensibility, he praised its effort to give each character a little bit of depth, further applauding Roiland's voice talent for the eponymous characters.[71]"
Franziska Ehmcke,19 June 2019,https://en.wikipedia.org/wiki/Franziska_Ehmcke,"Franziska Ehmcke (born 1947) was a professor of Japanese Studies at the University of Cologne and recipient of the Japanese order Order of the Rising Sun.[1] She has been emeritus professor since 2015.[2]Franziska Ehmcke was born in Hamburg in 1947. Ehmcke studied Japanese Studies, Sinology, and General and Comparative Linguistics at the University of Hamburg. She was awarded a DAAD doctoral scholarship at Tôhoku University in Sendai and in 1978 received her Doctorate in Japanese Studies at the University of Hamburg. Ehmcke was a Research Assistant in the East Asian Faculty of the University of Cologne from 1978 to 1986, later working as a freelance translator and author between 1986 and 1993. She was Professor and Head of the Department of Japanese Studies at the University of Cologne from 1994 to 2012, and member of the board of the Center for Asian Studies. On June 14, 2013 Ehmcke was awarded the Japanese order Order of the Rising Sun for her cooperation with other institutions and projects in Japan, promotion of Japan outside of academia, and impact on German-Japanese relations, having established the first taught degree program in Japanese at the University of Cologne, which trained Japanese schoolteachers.[1]Ehmcke's publications include Der japanische Tee-Weg – Bewusstseinsschulung und Gesamtkunstwerk (Cologne, 1991) and Osaka zu byobu – Ansichten der Burgstadt Osaka in Schloss Eggenberg (Graz, 2010).[2]"
Eadnoth the Constable,3 October 2019,https://en.wikipedia.org/wiki/Eadnoth_the_Constable,"Eadnoth the Constable (died 1068)[1] also known as Eadnoth the Staller, was an Anglo-Saxon landowner and steward to Edward the Confessor and King Harold II. He is mentioned in Domesday Book as holding thirty manors in Devon, Dorset, Somerset, and Wiltshire, before the Norman conquest.[2]  He may have been the same man as Eadnoth of Ugford, also known as Alnoth.[3]  Eadnoth was killed at Bleadon in 1068, leading a force against the two sons of Harold II, who had invaded Somerset.  His son Harding became sheriff reeve of Bristol, and one of his grandsons was Robert Fitzharding, the ancestor of the Berkeley family of Berkeley Castle.[1]"
Shulmanu,4 January 2017,https://en.wikipedia.org/wiki/Shulmanu,"Shulmanu (Shulman) is a god of the underworld, fertility, and war in the Mesopotamian religion of the East Semitic Akkadians, Assyrians and Babylonians, and later also  the western Semitic peoples such as Arameans, Canaanites and Phoenicians. Shulmanu was found in Assyria c. 2000 to 600 BC and is known from Bronze Age inscriptions at Sidon. Shulmanu-Shulman appears as a part of the name of various kings of Assyria from the 14th century BC, such as Shalmaneser III (Šulmānu-ašarēdu, the god Shulmanu is pre-eminent)."
Lionel de Nicéville,1 April 2020,https://en.wikipedia.org/wiki/Lionel_de_Nic%C3%A9ville,"Charles Lionel Augustus de Nicéville[1] (1852 in Bristol – 3 December 1901 in Calcutta from malaria) was a curator at the Indian Museum in Calcutta (now Kolkata). He studied the butterflies of the Indian Subcontinent and wrote a three volume monograph on the butterflies of India, Bangladesh, Nepal, Burma and Sri Lanka.Born in a noble Huguenot family, his father was a physician. He was educated at St. John's College at Hurstpierpoint near Brighton.[2] Leaving England for India in 1870, de Nicéville became a clerk in a government office (Calcutta Small Cause Court) but from at least 1881, devoted all of his spare time to entomology. He worked with most 'Indian' entomologists of the day but especially with Henry John Elwes, Taylor, Wood–Mason, Martin and Marshall. At this time, he made several trips to Sikkim. In 1887 he made a trip to the Baltistan glaciers along with John Henry Leech.[2] He made collections on these trips and wrote a series of papers in the Journal of the Royal Asiatic Society of Bengal (1881, 1882, 1883 and 1885) and in 1890 the results were summarised in the Gazetteer of Sikhim (1890) in which G. A Gammie and De Niceville recorded about 631 species of butterflies found in Sikkim. Also included were butterflies found in Darjeeling, Buxa and Bhutan, areas contiguous with Sikkim state1899 was a year of great famine coinciding with George Nathaniel Curzon's appointment as Viceroy of India. Curzon was hugely energetic and supportive of government efforts to help agriculture. Our real reform has been to endeavour for the first time to apply science on a large scale to the study and practice of Indian agriculture. he wrote in 1901. Curzon began in 1901 by elevating the Bombay director of agriculture to the new position of inspector-general of agriculture. Curzon also undertook the expansion of provincial research, linked to districts by experiment as well as demonstration farms. In 1901 he appointed an imperial mycologist and an imperial entomologist; two years later, he appointed an imperial agriculturalist and an imperial economic botanist. The entomologist was de Nicéville, who whilst a lepidopterist was able to co-ordinate work on other insect orders.He was a Corresponding Member of the Zoological Society of London and a Fellow of the Entomological Society.He married Jane Sarah Webb, a widow, at St James' Church Calcutta on September 21, 1881.  Their only child, Nora De Niceville, was born in Calcutta on August 25, 1882.Lionel died of malaria contracted while travelling in the Terai region.[3]Partial listPart of de Nicéville's butterfly collection was given to the Asiatic Society, Calcutta in 1880. Other parts were given, in 1902 to the Indian Museum in Calcutta and to the Peter Redpath Museum in Montreal."
1999 Thalgo Australian Women's Hardcourts – Doubles,14 August 2019,https://en.wikipedia.org/wiki/1999_Thalgo_Australian_Women%27s_Hardcourts_%E2%80%93_Doubles,"The 1999 Thalgo Australian Women's Hardcourts – Doubles was the doubles event of the third edition of the Thalgo Australian Women's Hardcourts; a WTA Tier III tournament held in the Gold Coast. Elena Likhovtseva and Ai Sugiyama were the defending champions but lost in the first round to Anke Huber and Mary Pierce.Corina Morariu and Larisa Neiland won in the final 6–3, 6–3 against Kristine Kunce and Irina Spîrlea."
1995 World Championships in Athletics – Women's marathon,27 December 2019,https://en.wikipedia.org/wiki/1995_World_Championships_in_Athletics_%E2%80%93_Women%27s_marathon,"The Women's Marathon at the 1995 World Championships in Gothenburg, Sweden was held on Sunday August 5, 1995. Due to judges' error the marathon course was 400 metres short of the normal distance as at the start the women left the stadium one lap too early.[1]"
Imithente,4 February 2020,https://en.wikipedia.org/wiki/Imithente,"Imithente (named after a kind of grass that grows in rural KwaZulu Natal) is a Maskandi group from Johannesburg, South Africa. The band was formed in 1993 by late guitarist, Simosakhe Mthalane, and three female singers: Buselaphi Gxowa, Dumisile Manana and Nokwazi Ntuli, all from KwaZulu-Natal. They have produced several albums attaining gold sales in their home country and won SAMA and SATMA awards.The group performs as a 10-piece band with 6 singer/dancers and 4 musicians."
"Ettersburg, California",28 October 2016,"https://en.wikipedia.org/wiki/Ettersburg,_California","Ettersburg (also, Etter[1]) is a locality[1] in Humboldt County, California. It is located 12.5 miles (20 km) west-northwest of Phillipsville,[1] at an elevation of 676 feet (206 m).[2]A post office operated at Ettersburg from 1902 to 1906 and from 1915 to 1965.[1] The name comes from the ancestral home of homesteader Albert F. Etter.[1]Coordinates: 40°08′19″N 123°59′50″W﻿ / ﻿40.13861°N 123.99722°W﻿ / 40.13861; -123.99722"
Sławomir Nowak,19 March 2020,https://en.wikipedia.org/wiki/S%C5%82awomir_Nowak,"Sławomir Ryszard Nowak (born 11 December 1974 in Gdańsk) is a Polish politician and a state official in Ukraine. He was elected to the Sejm on 25 September 2005, getting 9,061 votes in 25 Gdańsk district as a candidate from the Civic Platform list.He was also a member of Sejm 2001-2005.Nowak served as head of the electoral staff of a candidate for President of Poland, Bronisław Komorowski, during the 2010 presidential election.From 18 November 2011 to 27 November 2013 he served as Minister of Transport, Construction and Maritime Economy.On 24 October 2016 he was appointed chief of Ukrainian transport agency Ukravtodor and awarded Ukrainian citizenship.[1][2]"
